timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 3 18 0.39654007030927063 0.003459929690729391
2 20 135 0.39472926183936896 0.005270738160631061
2 32 118 0.3977838129965983 0.002216187003401704
2 111 142 0.398304409266887 0.0016955907331130393
2 117 132 0.3908760642499012 0.009123935750098844
3 3 18 0.39654007030927063 0.003459929690729391
3 20 184 0.3953683726094533 0.004631627390546733
3 32 160 0.39569041877609984 0.004309581223900183
3 33 185 0.3984199447919678 0.0015800552080322272
3 47 168 0.3947691422968546 0.005230857703145408
3 88 101 0.39629497978887435 0.003705020211125676
3 95 133 0.3964732676877461 0.003526732312253922
3 96 172 0.39293072163971965 0.007069278360280373
3 106 175 0.3933496939308706 0.006650306069129419
4 5 195 0.3991846563170728 8.153436829272387E-4
4 32 160 0.39569041877609984 0.004309581223900183
4 37 137 0.3960209318519701 0.003979068148029896
4 38 51 0.39711300679726697 0.002886993202733057
4 47 168 0.3947691422968546 0.005230857703145408
4 65 154 0.3958468779076447 0.004153122092355299
4 95 133 0.3964732676877461 0.003526732312253922
4 101 147 0.39418302787940546 0.005816972120594566
4 172 195 0.3949218834008659 0.005078116599134097
4 175 192 0.3994654210641719 5.34578935828145E-4
5 24 105 0.3899943179439585 0.01000568205604152
5 32 188 0.39762414073955143 0.0023758592604485873
5 38 51 0.39711300679726697 0.002886993202733057
5 47 168 0.3947691422968546 0.005230857703145408
5 95 133 0.3964732676877461 0.003526732312253922
5 101 147 0.39418302787940546 0.005816972120594566
5 172 195 0.39496805931446627 0.005031940685533753
6 9 101 0.3949434155546471 0.005056584445352896
6 14 169 0.3951315965295252 0.004868403470474847
6 38 51 0.39711300679726697 0.002886993202733057
6 86 169 0.39921116315331695 7.88836846683072E-4
6 95 133 0.3964732676877461 0.003526732312253922
7 9 101 0.3967548998388934 0.003245100161106629
7 14 169 0.3951315965295252 0.004868403470474847
7 65 178 0.3998030266785437 1.969733214562952E-4
7 86 169 0.39921116315331695 7.88836846683072E-4
7 95 133 0.3964732676877461 0.003526732312253922
7 136 174 0.39224856136646435 0.007751438633535668
8 1 117 0.39783421678912967 0.0021657832108703534
8 14 169 0.3951315965295252 0.004868403470474847
8 22 105 0.39478694916565865 0.005213050834341371
8 60 136 0.38974702296711367 0.010252977032886357
8 60 174 0.39851466248381423 0.0014853375161857918
8 65 178 0.3998030266785437 1.969733214562952E-4
8 69 143 0.3926429140426346 0.007357085957365395
8 112 191 0.39402756254816557 0.005972437451834456
8 136 174 0.39224856136646435 0.007751438633535668
8 177 191 0.39608783654259255 0.003912163457407469
9 1 117 0.39783421678912967 0.0021657832108703534
9 14 169 0.3951315965295252 0.004868403470474847
9 22 105 0.39478694916565865 0.005213050834341371
9 69 143 0.3926429140426346 0.007357085957365395
10 14 169 0.3951315965295252 0.004868403470474847
10 64 138 0.395514861419177 0.004485138580823
10 88 192 0.39202482570735 0.007975174292650045
11 14 169 0.3951315965295252 0.004868403470474847
11 64 138 0.395514861419177 0.004485138580823
11 111 127 0.3926636438485048 0.007336356151495249
11 164 185 0.39361925253157176 0.006380747468428261
12 14 169 0.3951315965295252 0.004868403470474847
12 44 200 0.39535771436871703 0.004642285631282994
12 64 138 0.395514861419177 0.004485138580823
12 164 185 0.39361925253157176 0.006380747468428261
13 14 169 0.3951315965295252 0.004868403470474847
13 60 136 0.39273237794440186 0.007267622055598166
13 164 185 0.39361925253157176 0.006380747468428261
14 14 169 0.3951315965295252 0.004868403470474847
14 44 200 0.3966755665732989 0.0033244334267011344
14 49 221 0.39216589551354863 0.007834104486451388
14 60 136 0.39273237794440186 0.007267622055598166
14 131 145 0.3932716668896136 0.0067283331103863975
14 131 223 0.39862406476708956 0.0013759352329104635
15 14 169 0.3951315965295252 0.004868403470474847
15 44 200 0.3966755665732989 0.0033244334267011344
15 49 147 0.396963241950201 0.0030367580497990265
15 60 136 0.39273237794440186 0.007267622055598166
15 97 214 0.3970038474855438 0.0029961525144562295
16 35 77 0.39922685898273286 7.731410172671649E-4
16 60 136 0.39273237794440186 0.007267622055598166
16 106 175 0.39531191470336136 0.004688085296638667
17 60 136 0.39273237794440186 0.007267622055598166
17 138 195 0.39577118451549975 0.00422881548450027
17 178 180 0.397927123361672 0.002072876638328003
18 14 169 0.39763657336788666 0.0023634266321133635
18 49 177 0.39241982991852575 0.007580170081474269
18 60 136 0.39273237794440186 0.007267622055598166
18 73 162 0.3912155918124165 0.008784408187583526
18 138 195 0.39577118451549975 0.00422881548450027
19 14 169 0.39763657336788666 0.0023634266321133635
19 54 63 0.395550423873336 0.004449576126664023
19 60 136 0.39273237794440186 0.007267622055598166
19 63 110 0.3907546388198696 0.009245361180130418
19 63 122 0.387982072388808 0.012017927611192025
19 138 195 0.39577118451549975 0.00422881548450027
19 205 219 0.39369077427123816 0.006309225728761858
20 54 63 0.395550423873336 0.004449576126664023
20 60 136 0.39273237794440186 0.007267622055598166
20 64 195 0.3912219484162373 0.008778051583762714
20 205 219 0.39369077427123816 0.006309225728761858
21 4 88 0.3965990920152339 0.0034009079847661106
21 60 136 0.39273237794440186 0.007267622055598166
21 64 195 0.3912219484162373 0.008778051583762714
21 76 212 0.3949057102885055 0.005094289711494504
21 95 156 0.3909518696129043 0.009048130387095732
21 205 219 0.39369077427123816 0.006309225728761858
22 30 96 0.3971299625384908 0.0028700374615092117
22 60 136 0.39273237794440186 0.007267622055598166
22 64 195 0.3912219484162373 0.008778051583762714
22 76 212 0.3949057102885055 0.005094289711494504
22 83 98 0.392504423124101 0.007495576875899024
22 95 156 0.3909518696129043 0.009048130387095732
23 19 52 0.39608362345162706 0.003916376548372957
23 30 96 0.3971299625384908 0.0028700374615092117
23 43 75 0.39176911079311244 0.008230889206887582
23 60 136 0.39273237794440186 0.007267622055598166
23 64 195 0.3912219484162373 0.008778051583762714
23 82 128 0.3938989288772685 0.006101071122731505
23 82 149 0.39176205672556036 0.008237943274439663
24 1 75 0.39190822517965695 0.008091774820343067
24 43 75 0.39176911079311244 0.008230889206887582
24 50 104 0.3953445907043321 0.004655409295667934
24 60 136 0.39273237794440186 0.007267622055598166
24 64 195 0.3912219484162373 0.008778051583762714
25 1 75 0.39190822517965695 0.008091774820343067
25 43 75 0.39176911079311244 0.008230889206887582
25 56 126 0.3988231940005027 0.0011768059994973212
