timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
5 70 87 0.39778381736500096 0.0022161826349990643
11 36 85 0.39511040205242026 0.00488959794757976
12 6 21 0.3995652441564242 4.347558435758292E-4
40 27 79 0.39566535181593376 0.004334648184066259
48 48 91 0.39261263484378495 0.0073873651562150755
49 48 91 0.3865910928015847 0.01340890719841531
66 54 82 0.39948605559443884 5.139444055611841E-4
70 65 79 0.39927691815020167 7.230818497983571E-4
77 21 69 0.3940571037825447 0.005942896217455307
