Model Train_dataset_label Val_dataset_label Train_loss Test_loss AIC
1_1_20210714-210331 vadereB+C vadereB+C 0.035930 0.111517 2840.371886
1_2_20210714-210620 vadereB+C vadereB+C 0.083509 0.111544 2887.459546
1_3_20210714-210929 vadereB+C vadereB+C 0.094335 0.111565 2934.244682
2_4_2_20210714-211110 vadereB+C vadereB+C 0.120646 0.111367 2988.568879
2_5_2_20210714-211615 vadereB+C vadereB+C 0.158407 0.111612 3046.064445
2_5_3_20210714-211811 vadereB+C vadereB+C 0.088507 0.111577 3058.705575
2_6_3_20210714-212023 vadereB+C vadereB+C 0.111499 0.108403 2983.638276
2_10_4_20210714-212637 vadereB+C vadereB+C 0.132604 0.109131 3236.664969
